WTeam,LTeam,WLoc
Washington Wizards,New Orleans Pelicans,H
Indiana Pacers,Atlanta Hawks,V
Miami Heat,Boston Celtics,V
Sacramento Kings,Brooklyn Nets,V
Chicago Bulls,Orlando Magic,H
Toronto Raptors,Charlotte Hornets,V
Dallas Mavericks,Detroit Pistons,H
Minnesota Timberwolves,Denver Nuggets,V
Golden State Warriors,Memphis Grizzlies,H
Los Angeles Lakers,Houston Rockets,V
Los Angeles Clippers,Phoenix Suns,H
Oklahoma City Thunder,Utah Jazz,H
San Antonio Spurs,Portland Trail Blazers,V
Cleveland Cavaliers,Chicago Bulls,H
New York Knicks,Boston Celtics,H
Toronto Raptors,Philadelphia 76ers,V
Phoenix Suns,Memphis Grizzlies,H
Utah Jazz,San Antonio Spurs,H
Brooklyn Nets,Washington Wizards,H
Detroit Pistons,New York Knicks,H
Golden State Warriors,Los Angeles Lakers,H
Los Angeles Clippers,Houston Rockets,V
Miami Heat,Dallas Mavericks,H
Milwaukee Bucks,Charlotte Hornets,H
Oklahoma City Thunder,Atlanta Hawks,H
New Orleans Pelicans,Orlando Magic,V
Denver Nuggets,Portland Trail Blazers,V
Atlanta Hawks,Dallas Mavericks,H
Boston Celtics,Chicago Bulls,H
Charlotte Hornets,Milwaukee Bucks,H
Denver Nuggets,Golden State Warriors,V
Indiana Pacers,Brooklyn Nets,H
Portland Trail Blazers,Los Angeles Lakers,V
Memphis Grizzlies,Los Angeles Clippers,H
New Orleans Pelicans,Miami Heat,V
Minnesota Timberwolves,Phoenix Suns,V
San Antonio Spurs,Sacramento Kings,V
Toronto Raptors,Philadelphia 76ers,H
Oklahoma City Thunder,Utah Jazz,V
Washington Wizards,Orlando Magic,H
Washington Wizards,Boston Celtics,V
Golden State Warriors,Cleveland Cavaliers,H
Minnesota Timberwolves,Los Angeles Lakers,V
Philadelphia 76ers,New York Knicks,V
Oklahoma City Thunder,Houston Rockets,H
Dallas Mavericks,Toronto Raptors,H
Denver Nuggets,Utah Jazz,H
Detroit Pistons,Indiana Pacers,H
Los Angeles Clippers,Sacramento Kings,H
Miami Heat,Orlando Magic,H
Chicago Bulls,Milwaukee Bucks,V
Phoenix Suns,Memphis Grizzlies,H
San Antonio Spurs,Brooklyn Nets,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,New York Knicks,H
Boston Celtics,Charlotte Hornets,V
Golden State Warriors,Utah Jazz,H
Dallas Mavericks,Indiana Pacers,V
Memphis Grizzlies,Los Angeles Lakers,V
Minnesota Timberwolves,Denver Nuggets,H
New Orleans Pelicans,Brooklyn Nets,H
Oklahoma City Thunder,Toronto Raptors,H
Sacramento Kings,Cleveland Cavaliers,H
Boston Celtics,Houston Rockets,H
Milwaukee Bucks,Minnesota Timberwolves,H
Orlando Magic,Detroit Pistons,H
Portland Trail Blazers,Philadelphia 76ers,H
San Antonio Spurs,New York Knicks,H
Chicago Bulls,Indiana Pacers,H
Charlotte Hornets,Golden State Warriors,V
Los Angeles Clippers,Los Angeles Lakers,V
Brooklyn Nets,Miami Heat,V
Dallas Mavericks,New Orleans Pelicans,V
Milwaukee Bucks,Oklahoma City Thunder,V
Phoenix Suns,Sacramento Kings,V
Toronto Raptors,Atlanta Hawks,H
Washington Wizards,Houston Rockets,H
Atlanta Hawks,Portland Trail Blazers,H
Philadelphia 76ers,Denver Nuggets,V
Detroit Pistons,San Antonio Spurs,H
Golden State Warriors,Memphis Grizzlies,H
New York Knicks,New Orleans Pelicans,V
Miami Heat,Orlando Magic,V
