win,lose,probability
Golden State Warriors,Portland Trail Blazers,0.7175973761324577
San Antonio Spurs,Indiana Pacers,0.5042031489300388
Los Angeles Clippers,Memphis Grizzlies,0.8809550536345089
Utah Jazz,Los Angeles Lakers,0.7348091922694628
Milwaukee Bucks,Phoenix Suns,0.9048577234252256
New Orleans Pelicans,New York Knicks,0.7768323027457458
Oklahoma City Thunder,Charlotte Hornets,0.6680354398776654
Philadelphia 76ers,Cleveland Cavaliers,0.6125657974456853
Toronto Raptors,Washington Wizards,0.7283164309770763
Houston Rockets,Cleveland Cavaliers,0.7368378474191374
Boston Celtics,Dallas Mavericks,0.9189683360142884
Golden State Warriors,Sacramento Kings,0.9337274414669074
San Antonio Spurs,Milwaukee Bucks,0.5392210501345693
Minnesota Timberwolves,Chicago Bulls,0.8297234756486352
Oklahoma City Thunder,Denver Nuggets,0.5219902612549339
New Orleans Pelicans,Washington Wizards,0.540277563692982
Charlotte Hornets,Atlanta Hawks,0.765748427950742
Philadelphia 76ers,Brooklyn Nets,0.8195500519721886
Detroit Pistons,Phoenix Suns,0.8423877736916523
Los Angeles Lakers,Orlando Magic,0.6775155396536604
Memphis Grizzlies,New York Knicks,0.502572669706665
Portland Trail Blazers,Los Angeles Clippers,0.6347456832520857
Utah Jazz,Sacramento Kings,0.8259745653710756
Toronto Raptors,Miami Heat,0.7105239548091056
San Antonio Spurs,Chicago Bulls,0.8038963354942827
Milwaukee Bucks,Charlotte Hornets,0.6843598624107177
Cleveland Cavaliers,Minnesota Timberwolves,0.6490783600449621
Golden State Warriors,Orlando Magic,0.9212591933076717
Boston Celtics,New Orleans Pelicans,0.6101248543253951
Indiana Pacers,Utah Jazz,0.5761531599850471
Houston Rockets,Washington Wizards,0.8057393016728803
Denver Nuggets,Los Angeles Lakers,0.7183959520346094
Detroit Pistons,New York Knicks,0.7114160706063173
Toronto Raptors,Memphis Grizzlies,0.9061002207935277
Miami Heat,Atlanta Hawks,0.7994367683587741
Indiana Pacers,Phoenix Suns,0.8831622148803564
Utah Jazz,Brooklyn Nets,0.8610534777820122
Charlotte Hornets,Atlanta Hawks,0.5900687889233338
Houston Rockets,Dallas Mavericks,0.9102779518342391
Los Angeles Clippers,Phoenix Suns,0.8956500085167881
Milwaukee Bucks,Chicago Bulls,0.8193654230351932
San Antonio Spurs,Minnesota Timberwolves,0.5213850722061539
New Orleans Pelicans,Washington Wizards,0.6206339102984298
Cleveland Cavaliers,Oklahoma City Thunder,0.51069474622529
Philadelphia 76ers,New York Knicks,0.9006985265617694
Portland Trail Blazers,Orlando Magic,0.8103288352604657
Indiana Pacers,Los Angeles Lakers,0.7131423207657586
Los Angeles Clippers,Sacramento Kings,0.6671540998486847
Golden State Warriors,Toronto Raptors,0.5310501694919383
Boston Celtics,Cleveland Cavaliers,0.5692049762736003
Brooklyn Nets,Memphis Grizzlies,0.6615351613386032
Utah Jazz,Charlotte Hornets,0.8045008370336145
Detroit Pistons,Chicago Bulls,0.7182408806368046
Los Angeles Lakers,Dallas Mavericks,0.6632048338815776
New Orleans Pelicans,Miami Heat,0.5789373471903473
Oklahoma City Thunder,Atlanta Hawks,0.8340154381565577
Philadelphia 76ers,Washington Wizards,0.7284848044086366
Orlando Magic,Phoenix Suns,0.5913744095040991
Denver Nuggets,Portland Trail Blazers,0.5141997243697107
Houston Rockets,San Antonio Spurs,0.8403951579420921
Toronto Raptors,Cleveland Cavaliers,0.5633485662991888
Golden State Warriors,Detroit Pistons,0.8063160878616096
Houston Rockets,Chicago Bulls,0.9256984766787185
Boston Celtics,Minnesota Timberwolves,0.6474731546231381
Milwaukee Bucks,New York Knicks,0.6646846754064148
Indiana Pacers,Sacramento Kings,0.809828477806049
Washington Wizards,Brooklyn Nets,0.7748189006483586
New Orleans Pelicans,Charlotte Hornets,0.7919863972447708
Los Angeles Clippers,Dallas Mavericks,0.7819259167068047
Los Angeles Lakers,Phoenix Suns,0.8352556307454888
Utah Jazz,Miami Heat,0.5977593698331074
Philadelphia 76ers,Memphis Grizzlies,0.9443044153546628
Portland Trail Blazers,San Antonio Spurs,0.5605177317194863
Golden State Warriors,Atlanta Hawks,0.9247130406213004
Cleveland Cavaliers,Brooklyn Nets,0.8458341676923512
Oklahoma City Thunder,Detroit Pistons,0.6532841124393174
Houston Rockets,Minnesota Timberwolves,0.8178515808204262
New Orleans Pelicans,Los Angeles Clippers,0.6689964038014226
Washington Wizards,New York Knicks,0.662491005009525
Toronto Raptors,Denver Nuggets,0.6429204868379157
Portland Trail Blazers,Dallas Mavericks,0.8703901161526914
Indiana Pacers,Chicago Bulls,0.839221666307781
Miami Heat,Orlando Magic,0.7966361023732839
Sacramento Kings,Phoenix Suns,0.5458263456551959
San Antonio Spurs,Utah Jazz,0.5455174319599594
Washington Wizards,Atlanta Hawks,0.8018215591835244
Oklahoma City Thunder,Brooklyn Nets,0.8162541981282022
Golden State Warriors,Cleveland Cavaliers,0.5759258202052608
San Antonio Spurs,Los Angeles Lakers,0.6870295752557398
Los Angeles Clippers,Memphis Grizzlies,0.7303425136915976
Milwaukee Bucks,Detroit Pistons,0.5575924249994899
Minnesota Timberwolves,Charlotte Hornets,0.6330645429135999
New Orleans Pelicans,Dallas Mavericks,0.8232318069293513
Denver Nuggets,Orlando Magic,0.8455547787102856
Toronto Raptors,Philadelphia 76ers,0.6561652895398619
Boston Celtics,New York Knicks,0.8834493564990737
Portland Trail Blazers,Phoenix Suns,0.9115826108846304
Houston Rockets,Utah Jazz,0.831856438731393
Toronto Raptors,Brooklyn Nets,0.9031396770512378
Oklahoma City Thunder,Chicago Bulls,0.7876511041231804
Denver Nuggets,Charlotte Hornets,0.7617121898765735
Cleveland Cavaliers,Sacramento Kings,0.8910143222863501
Philadelphia 76ers,Detroit Pistons,0.658279383198433
Golden State Warriors,Milwaukee Bucks,0.700555965043768
New Orleans Pelicans,Memphis Grizzlies,0.9118020158746543
Indiana Pacers,Orlando Magic,0.8634521493339924
Miami Heat,Phoenix Suns,0.8276046150444855
San Antonio Spurs,Los Angeles Lakers,0.6788714700589712
Denver Nuggets,Atlanta Hawks,0.8576311937272412
Boston Celtics,Chicago Bulls,0.8736015274257541
Cleveland Cavaliers,Washington Wizards,0.690912291380425
Houston Rockets,Dallas Mavericks,0.9651866360373464
Indiana Pacers,Sacramento Kings,0.8452291272219506
Los Angeles Clippers,Miami Heat,0.5174276803941474
Los Angeles Lakers,Memphis Grizzlies,0.6529415651759086
New York Knicks,Brooklyn Nets,0.537400873809016
Portland Trail Blazers,Minnesota Timberwolves,0.5378831392986941
New Orleans Pelicans,Detroit Pistons,0.7086169177920727
Charlotte Hornets,New York Knicks,0.6132880511934287
Utah Jazz,San Antonio Spurs,0.6172275993001575
Toronto Raptors,Milwaukee Bucks,0.7263676731698053
Boston Celtics,New Orleans Pelicans,0.5583727034129233
Chicago Bulls,Sacramento Kings,0.5753340700368729
Orlando Magic,Dallas Mavericks,0.5932476572421724
Denver Nuggets,Memphis Grizzlies,0.9006387152083927
Golden State Warriors,Minnesota Timberwolves,0.7611973430606355
Indiana Pacers,Washington Wizards,0.5989052546920153
Miami Heat,Los Angeles Lakers,0.612235156599378
Cleveland Cavaliers,Milwaukee Bucks,0.5666820839502666
Utah Jazz,Oklahoma City Thunder,0.5410470471036676
Philadelphia 76ers,Detroit Pistons,0.7226878863366263
